"id_test","classe","attribut","cle_primaire","conteneur_c1","conteneur_c2","conteneur_c3","conteneur_c4","actif","condition"
"","t_local","lc_avct","","C","C","C","C","true","Si lc_typelog = SRO ou NRO "
"","t_local","lc_bat","","N","N","C","C","true","Si locaux technique (NRO, SRO) et nécessité de différencier la localisation d’un local par rapport au st_nombat de la table site."
"","t_local","lc_bp_codf","","N","C","C","C","true","Si lc_typelog = RES ou PRO, sinon selon contrat"
"","t_local","lc_bp_codp","","N","C","C","C","true","Si lc_typelog = ENT, sinon selon contrat"
"","t_local","lc_codeext","","C","C","C","C","true","Tous les conteneurs : Si lc_typelog = SRO ou NRO
Conteneur 1 : Si nom délégué ou si nommage déjà généré par l'exploitant"
"","t_local","lc_dateins","","N","N","C","C","true","Si lc_typelog = SRO ou NRO ET lc_statut IN ('REC','MCO')"
"","t_local","lc_elec","","N","N","C","C","true","Si lc_typelog = SRO ou NRO "
"","t_local","lc_escal","","N","N","C","C","true","Si existant et si lc_typelog = RES, PRO, ENT, PUB, OPE ou OBJ. Ou PB en immeuble (TEC). Ou BPI (TEC). "
"","t_local","lc_etage","","N","N","C","C","true","Si existant et si lc_typelog = RES, PRO, ENT, PUB, OPE ou OBJ. Ou PB en immeuble (TEC). Ou BPI (TEC). "
"","t_local","lc_etiquet","","N","C","C","C","true","Si local est de type SRO ou NRO."
"","t_local","lc_gest","","C","C","C","C","true","Si lc_typelog = SRO ou NRO "
"","t_local","lc_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_local","lc_prop","","C","C","C","C","true","Si lc_typelog = SRO ou NRO "
"","t_local","lc_proptyp","","N","C","C","C","true","Si lc_typelog = SRO ou NRO et si local herbergé dans un site st_typelog='CLIENT'"
"","t_local","lc_statut","","C","C","C","C","true","Si lc_typelog = SRO ou NRO "
"","t_love","lv_cb_code","","N","C","C","C","true","Dans le cas d'un réseau en exploitation, le constructeur doit livrer à l’exploitant la t_love dans un format exploitable permettant de générer un export GraceTHD v3, qui aura la charge de conserver l'information et la lui relivrer par la suite."
"","t_love","lv_id","","N","C","C","C","true","Dans le cas d'un réseau en exploitation, le constructeur doit livrer à l’exploitant la t_love dans un format exploitable permettant de générer un export GraceTHD v3, qui aura la charge de conserver l'information et la lui relivrer par la suite."
"","t_love","lv_long","","N","C","C","C","true","Dans le cas d'un réseau en exploitation, le constructeur doit livrer à l’exploitant la t_love dans un format exploitable permettant de générer un export GraceTHD v3, qui aura la charge de conserver l'information et la lui relivrer par la suite."
"","t_love","lv_nd_code","","N","C","C","C","true","Dans le cas d'un réseau en exploitation, le constructeur doit livrer à l’exploitant la t_love dans un format exploitable permettant de générer un export GraceTHD v3, qui aura la charge de conserver l'information et la lui relivrer par la suite."
"","t_organisme","or_commune","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_organisme","or_local","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_organisme","or_nomvoie","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_organisme","or_numero","","N","N","C","C","true","Si adresse sous convention syndic "
"","t_organisme","or_postal","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_organisme","or_rep","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_organisme","or_siret","","N","N","C","C","true","Si adresse sous convention syndic et si syndic dispose d’un SIRET"
"","t_organisme","or_type","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_point_leve","geom","","N","N","C","C","true","Selon contrats."
"","t_point_leve","pl_charge","","N","N","C","C","true","Si la charge est demandée contractuellement au format GraceTHD, ou si elle a été fournie par le passé, dans un format SIG exploitable, à l’acteur qui livre la donnée.​
Si l’ouvrage associé au point levé ne satisfait pas à éventuelle règle de profondeur minimale réglementaire à la date de pose de l’ouvrage [DT-DICT]."
"","t_point_leve","pl_code","","N","N","C","C","true","Selon contrats."
"","t_point_leve","pl_x","","N","N","C","C","true","Selon contrats."
"","t_point_leve","pl_y","","N","N","C","C","true","Selon contrats."
"","t_point_leve","pl_z","","N","N","C","C","true","Selon contrats."
"","t_pointaccueil","geom","","N","C","O","O","true","Conteneur 2 : Selon contrat"
"","t_pointaccueil","pa_a_haut","","N","C","C","C","true","Conteneur 2 : Si pa_typephys = APPUI et  selon contrat
Conteneur 3 : Si pa_typephys = APPUI"
"","t_pointaccueil","pa_a_struc","","N","C","C","C","true","Conteneur 2 : Si pa_typephy = APPUI et  selon contrat
Conteneur 3 : Si pa_typephy = APPUI"
"","t_pointaccueil","pa_code","","N","C","O","O","true","Conteneur 2 : Selon contrat"
"","t_pointaccueil","pa_codeext","","N","N","C","C","true","à partir de l'intégration dans le SI-SIG de l'exploitant"
"","t_pointaccueil","pa_codtemp","","N","C","C","C","true","Si pa_codeext NULL ou vide"
"","t_pointaccueil","pa_datecon","","N","N","C","C","true","Si site et points techniques créés pour la collectivité "
"","t_pointaccueil","pa_dtclass","","N","N","C","C","true","Si site et points techniques créés pour la collectivité "
"","t_pointaccueil","pa_nature","","N","C","O","O","true","Conteneur 2 : Selon contrat"
"","t_pointaccueil","pa_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_pointaccueil","pa_rotatio","","N","N","C","C","true","Si pa_typephys = CHAMBRE"
"","t_pointaccueil","pa_secu","","N","N","C","C","true","Si chambre construite ET sécurisation est demandée en construction
OU
Si chambre existante et demandé avant le lancement des piquetages
"
"","t_pointaccueil","pa_typephy","","N","C","O","O","true","Conteneur 2 : Selon contrat"
"","t_position","ps_1","","N","N","C","C","true","cf recommandation MTHD - Partie Fibrage"
"","t_position","ps_2","","N","N","C","C","true","cf recommandation MTHD - Partie Fibrage"
"","t_position","ps_preaff","","N","N","C","C","true","Si nécessaire pour des besoins opérationnels (par exemple pour préciser à un sous-traitant les fibres réservées pour une extensions de réseau).
Par contre il n’est pas nécessaire pour les exports type inventaire ou patrimoine."
"","t_position","ps_ti_code","","N","N","C","C","true","Si le tiroir auquel appartient la position est un tiroir de baie ou armoire"
"","t_ptech","pt_a_haut","","N","N","C","C","true","Si pt_typephy = APPUI ET point technique créé pour le projet"
"","t_ptech","pt_a_struc","","N","N","C","C","true","Si pt_typephy = APPUI et construit pour la collectivité"
"","t_ptech","pt_etiquet","","N","C","C","C","true","Si existant"
"","t_ptech","pt_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_ptech","pt_proptyp","","N","C","C","C","true","Donnée fournie par la collectivité en début de marché"
"","t_ptech","pt_secu","","N","N","C","C","true","Si chambre construite ET sécurisation est demandée en construction
OU
Si chambre existante et demandé avant le lancement des piquetages
"
"","t_site","st_ad_code","","C","C","C","C","true","Si st_typelog = CLIENT"
"","t_site","st_avct","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_codeext","","C","C","C","C","true","Tous conteneurs :Si st_typelog = 'RESEAU'
Conteneur 1 :  si nommage délégué ou si généré par l'exploitant"
"","t_site","st_commune","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_dateins","","N","N","C","C","true","Si st_typelog = 'RESEAU'  ET st_statut IN ('REC','MCO')"
"","t_site","st_design","","N","N","C","C","true","Si st_typephy= ADR ou SHE"
"","t_site","st_gest","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_insee","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_nombat","","C","C","C","C","true","Si existant et si st_typelog = 'RESEAU' "
"","t_site","st_nomvoie","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_numero","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_site","st_postal","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_prop","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_proptyp","","N","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_site","st_rep","","C","C","C","C","true","Si existant et si st_typelog = 'RESEAU' "
"","t_site","st_statut","","C","C","C","C","true","Si st_typelog = 'RESEAU' "
"","t_tiroir","ti_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_tranchee","geom","","N","C","O","O","true","C2: Selon contrat"
"","t_tranchee","tr_code","","N","C","O","O","true","C2: Selon contrat"
"","t_tranchee","tr_compo","","N","C","O","O","true","C2: Selon contrat"
"","t_tranchee","tr_couptyp","","N","C","C","C","true","Si demandé contractuellement et si données transmise à l’OI dans un format exploitable permettant la génération en GraceTHD v3."
"","t_tranchee","tr_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_zdep","zd_nd_code","","N","N","C","N","true","à renseigner pour les ZPA"
"","t_zdep","zd_r4_code","","N","N","C","N","true","à renseigner pour les ZPA  "
"","t_zdep","zd_zs_code","","N","N","C","N","true","à renseigner pour les ZPA
code figé à partir de l'AVP"
"","t_znro","zn_nroref","","C","O","O","O","true","Si nommage délégué par l'opérateur au constructeur ou si zsro intégrée par l'exploitant (donc nommage déjà généré)"
"","t_zsro","zs_refpm","","C","O","O","O","true","Si nommage délégué par l'opérateur au constructeur ou si zsro intégrée par l'exploitant (donc nommage déjà généré)"
